
2024/04/21 (22:32:34) | ===> btop++ v.1.3.2
2024/04/21 (22:32:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/21 (22:36:23) | ===> btop++ v.1.3.2
2024/04/21 (22:36:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (06:33:10) | ===> btop++ v.1.3.2
2024/04/22 (06:33:10) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (13:28:06) | ===> btop++ v.1.3.2
2024/04/22 (13:28:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (21:49:33) | ===> btop++ v.1.3.2
2024/04/22 (21:49:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (21:51:25) | ===> btop++ v.1.3.2
2024/04/22 (21:51:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (21:51:49) | ===> btop++ v.1.3.2
2024/04/22 (21:51:49) | WARNING: Failed to set locale UTF-8 continuing anyway.
